"Part";"Value";"Device";"Package";"Description";"POWER";"PROD_ID";"VALUE";"VOLTAGE";
"C1";"100n";"CL10B104MB8NNNC";"0603";"";"";"";"100n";"50V";
"C2";"4.7u";"CL10A475KL8NRNC";"0603";"";"";"";"4.7u";"35V";
"C6";"100n";"CL10B104MB8NNNC";"0603";"";"";"";"100n";"50V";
"C7";"3.3u";"EEV-FK1K3R3R";"PANASONIC_C";"";"";"";"3.3u";"80v";
"C8";"3.3u";"EEV-FK1K3R3R";"PANASONIC_C";"";"";"";"3.3u";"80v";
"C9";"3.3u";"EEV-FK1K3R3R";"PANASONIC_C";"";"";"";"3.3u";"80v";
"C10";"100u";"CL32A107MPVNNNE";"C1210";"";"";"";"100u";"10V";
"C11";"100u";"CL32A107MPVNNNE";"C1210";"";"";"";"100u";"10V";
"C12";"4.7u";"CL10A475KL8NRNC";"0603";"";"";"";"4.7u";"35V";
"C13";".68u";"CL10B684KO8NFNC";"0603";"";"";"";".68u";"16V";
"C14";"1n";"CL10B102KB8NNWC";"0603";"";"";"";"1n";"50V";
"C15";"1n";"CL10B102KB8NNWC";"0603";"";"";"";"1n";"50V";
"D9";"STPS8H100G-TR";"STPS8H100G-TR";"TO263";"";"";"";"";"";
"IC2";"LM3488";"LM3488";"VSSOP-8";"";"";"";"";"";
"J1";"";"CONN_02PTH4";"1X02_XTRA_BIG";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"J2";"";"CONN_02PTH4";"1X02_XTRA_BIG";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";
"L1";"DRQ127-4R7-R";"DRQ127-4R7-R";"DRQ127";"";"";"";"";"";
"Q4";"DMTH6002LPS-13";"DMTH6002LPS-13";"TDSON";"";"";"";"";"";
"R10";"20R";"RC0603JR-0720RL";"0603";"";"";"";"20R";"";
"R11";"100R";"RC0603JR-07100RL";"0603";"";"";"";"100R";"";
"R12";"30.9k 1%";"RC1206FR-0730K9L";"R1206";"";".25W";"";"30.9k 1%";"";
"R13";"10k 1%";"RC0603FR-1010KL";"0603";"";"";"";"10k 1%";"";
"R14";"75k";"75KOHM-0603-1/10W-1%";"0603";"75kΩ resistor";"";"RES-09737";"75k";"";
"R15";"6mOhm";"PRL1632-R006-F-T1";"3216";"";"1W";"";"6mOhm";"";
"R16";"270 1%";"RC0603FR-07270RL";"0603";"";"";"";"270 1%";"";
"R17";"0";"0OHM-0603-1/10W";"0603";"0Ω resistor";"";"RES-08609";"0";"";
